"T31762150","UI reflects correct updated version","",""," Need to Triage","C245278","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-62835","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762151","Audit Trail reflect if update is done","",""," Need to Triage","C245280","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-62835","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762158","In case of failure, retries count should be available","",""," Need to Triage","C246036","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-67601","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762160","Enable Auto upgrade and validate the audit trail","",""," Need to Triage","C246915","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-67555","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762161","Disable Auto upgrade and validate the audit trail","",""," Need to Triage","C246916","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-67555","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762165","In case of Failure, error message is reflected on the UI and in audit trail","",""," Need to Triage","C254172","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-73944","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762166","Error message is understandable and user friendly","",""," Need to Triage","C254173","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-73944","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762152","Auto upgrade toggle is available","",""," Need to Triage","C245281","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-65340","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762153","Toggle is inactive by default","",""," Need to Triage","C245282","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-65340","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762154","Enable toggle","",""," Need to Triage","C245283","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-65340","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762155","Toggle is available for offline appliance","",""," Need to Triage","C246033","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762156","Toggle is available for degraded appliance","",""," Need to Triage","C246034","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762157","Toggle is available for online appliance","",""," Need to Triage","C246035","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762159","Text is grammatically correct","",""," Need to Triage","C246038","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762163","Update application button is not disabled when Auto Update Toggle is enabled","","","","C250110","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-69987","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762127","Create Button should remain disabled till required fields are not filled","",""," UI","C6533","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Create Instance","2","","Appliance > UI > Create Instance","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762143","Add co-owner","",""," UI","C124407","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-21707","Appliances (POD)","","R14058","Create Instance","2","","Appliance > UI > Create Instance","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762136","Perform manual installation","",""," Need to Triage","C10416","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Can't Automate",""
"T31762139","Uninstall appliance","",""," BE","C10419","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762140","Revoke appliance","",""," Need to Triage","C10420","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762147","Register appliance","",""," Need to Triage","C234264","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762172","Download installation bundle with CDN","",""," Need to Triage","C279947","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762173","Perform installation with bundle downloaded via CDN","",""," Need to Triage","C279948","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Manual Installation","2","","Appliance > Installation > Manual Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762126","Perform installation with generated command","",""," BE","C6277","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762137","Uninstall appliance","",""," BE","C10417","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762138","Revoke appliance","",""," Need to Triage","C10418","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762148","Register appliance","",""," Need to Triage","C234265","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762162","Client validation for minimum length of token  (6 characters) should be available","","","","C250109","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-70721","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762164","All the pods are healthy after install","",""," Need to Triage","C253516","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762174","Generate curl command with CDN enabled","",""," Need to Triage","C279950","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762175","Verify that the CDN is enabled by default for new cluster","",""," Need to Triage","C279951","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762176","Perform installation with automatic curl command with CDN enabled","",""," Need to Triage","C279952","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Automatic Installation","2","","Appliance > Installation > Automatic Installation","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762125","Add multiple Nodes","",""," BE","C5160","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Nodes","1","","Appliance > Nodes","Untested","","","","","","","","","","Test Case (Text)","","","Automated",""
"T31762144","Diaagnostic Report option is available in main cluster tab","",""," Need to Triage","C126447","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-22346","Appliances (POD)","","R14058","Generate Cluster diagnostic report from cloud","1","","Add-ons > Generate Cluster diagnostic report from cloud","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Can't Automate",""
"T31762145","Download Diagnostic Report button is working","",""," BE","C126451","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-22346","Appliances (POD)","","R14058","Generate Cluster diagnostic report from cloud","1","","Add-ons > Generate Cluster diagnostic report from cloud","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762168","Generate and download report of manual installed cluster","",""," Need to Triage","C275762","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-103264","Appliances (POD)","","R14058","Generate Cluster diagnostic report from cloud","1","","Add-ons > Generate Cluster diagnostic report from cloud","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762169","Perform Online Installation","",""," Need to Triage","C279749","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-103050","Appliances (POD)","","R14058","Online","2","","V2 - K3s Appliance > Installation > Online","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762188","Verify that the installation bundle includes the install sh script.","",""," Need to Triage","C281982","","","","","The installation bundle includes the install sh script.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-110145","Appliances (POD)","","R14058","Include install script within bundle","3","","V2 - K3s Appliance > Installation > Bundle > Include install script within bundle","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762189","Verify that the script is available in the securiti appliance installer folder in /mnt/installation directory.","",""," Need to Triage","C281983","","","","","The Script is available in the securiti appliance installer folder in /mnt/installation directory.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-110145","Appliances (POD)","","R14058","Include install script within bundle","3","","V2 - K3s Appliance > Installation > Bundle > Include install script within bundle","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762190","Verify that the script contains all necessary checks to proceed the installation.","",""," Need to Triage","C281984","","","","","The script contains all necessary checks to proceed the installation.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-110145","Appliances (POD)","","R14058","Include install script within bundle","3","","V2 - K3s Appliance > Installation > Bundle > Include install script within bundle","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762191","Verify that the checks in the script can be edited in order to skip them during installation.","",""," Need to Triage","C281985","","","","","Checks in the script can be edited in order to skip them during installation.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-110145","Appliances (POD)","","R14058","Include install script within bundle","3","","V2 - K3s Appliance > Installation > Bundle > Include install script within bundle","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762192","Verify that when install sh script is executed, then installation is completed successfully.","",""," Need to Triage","C281986","","","","","Installations is done successfully upon the execution of install sh script.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-110145","Appliances (POD)","","R14058","Include install script within bundle","3","","V2 - K3s Appliance > Installation > Bundle > Include install script within bundle","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762202","Verify that Quick install and custom install dropdown is available on clicking new cluster","",""," Need to Triage","C292198","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-98870","Appliances (POD)","","R14058","Pod","3","","V2 - K3s Appliance > Installation > Quick Install (V2) > Pod","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762203","Verify the curl command installtion cia quick install for Amazon Linux","",""," Need to Triage","C292231","","","","","Installation should be successful and Pod should be registered","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-107381","Appliances (POD)","","R14058","Curl Command","3","","V2 - K3s Appliance > Installation > Functional > Curl Command","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762204","Perform installtion via curl generated on the VM launched via AWS","",""," Need to Triage","C292232","","","","","Installation should be successful and Pod should be registered","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-107381","Appliances (POD)","","R14058","Curl Command","3","","V2 - K3s Appliance > Installation > Functional > Curl Command","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762205","Perform installtion via curl generated on the VM launched via OCI","",""," Need to Triage","C292233","","","","","Installation should be successful and Pod should be registered","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-107381","Appliances (POD)","","R14058","Curl Command","3","","V2 - K3s Appliance > Installation > Functional > Curl Command","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762206","Perform installtion via curl generated on the VM launched via Azure","",""," Need to Triage","C292234","","","","","Installation should be successful and Pod should be registered","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-107381","Appliances (POD)","","R14058","Curl Command","3","","V2 - K3s Appliance > Installation > Functional > Curl Command","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
